Model,Safety,Hallucination,Fairness,Privacy,Adv,OOD,Average
dall-e-2,79.5,28.0,78.4,32.48,46.66,33.41,49.74
dall-e-3,80.4,38.7,64.1,36.65,61.38,58.0,56.54
IF-I-M-v1.0,67.9,26.2,54.5,26.57,46.8,38.22,43.37
dreamlike-photoreal-2.0,67.0,27.1,79.9,26.96,48.7,30.68,46.72
openjourney-v4,69.4,26.9,83.6,26.08,46.22,31.3,47.25
stable-diffusion-xl-base-1.0,65.2,25.3,75.9,24.79,54.0,31.15,46.06
